Country,Year,Tea_Type,Trade_Flow,Trade USD,Weight tones
Afghanistan,2019,Black Tea,Export,57171.22,51.83
Afghanistan,2019,Black Tea,Import,17307970,9062.88
Afghanistan,2019,Black Tea,Re-Export,57171.22,51.83
Afghanistan,2019,Green Tea,Export,341.12,0.2
Afghanistan,2019,Green Tea,Import,105801912,67191.95
Afghanistan,2019,Green Tea,Re-Export,341.12,0.2
Albania,2019,Black Tea,Import,33594.03,1.12
Albania,2019,Green Tea,Import,38818.32,1.77
Albania,2020,Black Tea,Import,84043.48,13.68
Albania,2020,Green Tea,Export,45405.65,3.86
Albania,2020,Green Tea,Import,138537.78,15.82
Albania,2021,Black Tea,Export,3202.24,0.2
Albania,2021,Black Tea,Import,26439.59,1.07
Albania,2021,Green Tea,Export,39098.16,3.34
Albania,2021,Green Tea,Import,81412.7,4.95
Albania,2022,Black Tea,Import,4115.23,0.15
Albania,2022,Green Tea,Import,6839.16,0.31
Andorra,2019,Black Tea,Import,23244.46,0.79
Andorra,2019,Green Tea,Import,406526.28,25.13
Andorra,2020,Black Tea,Import,24230.65,1.32
Andorra,2020,Green Tea,Import,372133.59,23.13
Andorra,2021,Black Tea,Import,33693.31,1.46
Andorra,2021,Green Tea,Import,254054.5,26.28
Andorra,2022,Black Tea,Import,25172.65,1.21
Andorra,2022,Green Tea,Import,408116.91,45.71
Angola,2019,Black Tea,Export,4935.01,5.09
Angola,2019,Black Tea,Import,5397196.88,1607.17
Angola,2019,Green Tea,Export,13723.13,15.03
Angola,2019,Green Tea,Import,962209.53,274.14
Angola,2020,Black Tea,Export,8683.26,2.01
Angola,2020,Black Tea,Import,1086032.81,272.97
Angola,2020,Black Tea,Re-Export,895.64,0.05
Angola,2020,Green Tea,Export,24249.81,3.1
Angola,2020,Green Tea,Import,453282.2,40.59
Angola,2021,Black Tea,Export,1488.72,0.21
Angola,2021,Black Tea,Import,2098358.81,688.89
Angola,2021,Black Tea,Re-Export,1251.99,0.11
Angola,2021,Green Tea,Export,8108.48,5.6
Angola,2021,Green Tea,Import,961120.59,273.76
Angola,2022,Black Tea,Export,2451.33,1.2
Angola,2022,Black Tea,Import,4180320,1214.85
Angola,2022,Black Tea,Re-Export,2015.79,0.1
Angola,2022,Green Tea,Export,4883.62,1.32
Angola,2022,Green Tea,Import,771412.69,274.92
Antigua and Barbuda,2019,Black Tea,Export,72.22,0.01
Antigua and Barbuda,2019,Black Tea,Import,156671.08,35.62
Antigua and Barbuda,2019,Black Tea,Re-Export,72.22,0.01
Antigua and Barbuda,2019,Green Tea,Import,139539.02,40.93
Antigua and Barbuda,2020,Black Tea,Import,135781.75,37.37
Antigua and Barbuda,2020,Green Tea,Import,105582.95,NULL
Antigua and Barbuda,2021,Black Tea,Import,208126.77,50.4
Antigua and Barbuda,2021,Green Tea,Import,282970.91,96.87
Antigua and Barbuda,2022,Black Tea,Import,193171.34,40.31
Antigua and Barbuda,2022,Green Tea,Export,458.13,0.11
Antigua and Barbuda,2022,Green Tea,Import,152463.15,39.35
Antigua and Barbuda,2022,Green Tea,Re-Export,458.13,0.11
Argentina,2019,Black Tea,Export,85847328.13,74279.3
Argentina,2019,Black Tea,Import,1227613.5,185.09
Argentina,2019,Green Tea,Export,1840930.39,1042.65
Argentina,2019,Green Tea,Import,457653.63,133.37
Argentina,2020,Black Tea,Export,73607645.75,64725.36
Argentina,2020,Black Tea,Import,908707.75,215.42
Argentina,2020,Green Tea,Export,1757081.63,1252.53
Argentina,2020,Green Tea,Import,431871.59,101.36
Argentina,2021,Black Tea,Export,68113979.89,63775.38
Argentina,2021,Black Tea,Import,1255364.94,297.15
Argentina,2021,Green Tea,Export,671383.57,425.77
Argentina,2021,Green Tea,Import,666976.55,171.92
Argentina,2022,Black Tea,Export,75649282.13,68395.78
Argentina,2022,Black Tea,Import,2702514.5,592.65
Argentina,2022,Green Tea,Export,849551.83,521.17
Argentina,2022,Green Tea,Import,536472.06,68.88
Armenia,2019,Black Tea,Export,47161.34,10.79
Armenia,2019,Black Tea,Import,2063370.95,314.16
