Country,Measure_Type,Product,Year,Unit,Value
Albania,Production,Processed Tea,2020,t,7
Albania,Production,Processed Tea,2021,t,2
Albania,Production,Processed Tea,2022,t,290
Algeria,Production,Processed Tea,2021,t,3330
Algeria,Production,Processed Tea,2022,t,3123
Antigua and Barbuda,Production,Processed Tea,2019,t,17
Antigua and Barbuda,Production,Processed Tea,2020,t,6
Antigua and Barbuda,Production,Processed Tea,2021,t,35
Antigua and Barbuda,Production,Processed Tea,2022,t,19
Argentina,Production,Processed Tea,2019,t,83241
Argentina,Production,Processed Tea,2020,t,73890
Argentina,Production,Processed Tea,2021,t,81872
Argentina,Production,Processed Tea,2022,t,78695
Armenia,Production,Processed Tea,2021,t,92
Armenia,Production,Processed Tea,2022,t,83
Austria,Production,Processed Tea,2021,t,465
Austria,Production,Processed Tea,2022,t,464
Bahamas,Production,Processed Tea,2020,t,21
Bahamas,Production,Processed Tea,2021,t,30
Bahamas,Production,Processed Tea,2022,t,48
Bangladesh,Production,Processed Tea,2019,t,90685
Bangladesh,Production,Processed Tea,2020,t,89931
Bangladesh,Production,Processed Tea,2021,t,90329
Bangladesh,Production,Processed Tea,2022,t,98146
Belarus,Production,Processed Tea,2021,t,1080
Belarus,Production,Processed Tea,2022,t,1056
Belgium,Production,Processed Tea,2019,t,476
Belgium,Production,Processed Tea,2020,t,543
Belgium,Production,Processed Tea,2021,t,1509
Belgium,Production,Processed Tea,2022,t,193
Bolivia,Production,Processed Tea,2020,t,449
Bolivia,Production,Processed Tea,2021,t,445
Bolivia,Production,Processed Tea,2022,t,412
Brazil,Production,Processed Tea,2019,t,470
Brazil,Production,Processed Tea,2020,t,462
Brazil,Production,Processed Tea,2021,t,464
Brazil,Production,Processed Tea,2022,t,463
Bulgaria,Production,Processed Tea,2020,t,115
Bulgaria,Production,Processed Tea,2021,t,173
Bulgaria,Production,Processed Tea,2022,t,186
Burundi,Production,Processed Tea,2019,t,11383
Burundi,Production,Processed Tea,2020,t,10691
Burundi,Production,Processed Tea,2021,t,11582
Burundi,Production,Processed Tea,2022,t,11600
Cabo Verde,Production,Processed Tea,2019,t,6
Cabo Verde,Production,Processed Tea,2020,t,7
Cabo Verde,Production,Processed Tea,2021,t,4
Cabo Verde,Production,Processed Tea,2022,t,6
Cameroon,Production,Processed Tea,2020,t,4024
Cameroon,Production,Processed Tea,2021,t,5559
Cameroon,Production,Processed Tea,2022,t,5600
Canada,Production,Processed Tea,2020,t,3480
Canada,Production,Processed Tea,2021,t,4020
Canada,Production,Processed Tea,2022,t,3624
Chile,Production,Processed Tea,2020,t,5471
Chile,Production,Processed Tea,2021,t,4526
Chile,Production,Processed Tea,2022,t,4874
China,Production,Processed Tea,2019,t,2777200
China,Production,Processed Tea,2020,t,2931800
China,Production,Processed Tea,2021,t,3167269
China,Production,Processed Tea,2022,t,3345460
Colombia,Production,Processed Tea,2020,t,100
Colombia,Production,Processed Tea,2021,t,100
Colombia,Production,Processed Tea,2022,t,100
Comoros,Production,Processed Tea,2020,t,2
Comoros,Production,Processed Tea,2021,t,2
Comoros,Production,Processed Tea,2022,t,57
Congo,Production,Processed Tea,2021,t,72
Congo,Production,Processed Tea,2022,t,42
Costa Rica,Production,Processed Tea,2020,t,54
Costa Rica,Production,Processed Tea,2021,t,40
Costa Rica,Production,Processed Tea,2022,t,64
Côte d'Ivoire,Production,Processed Tea,2020,t,720
Côte d'Ivoire,Production,Processed Tea,2021,t,1080
Côte d'Ivoire,Production,Processed Tea,2022,t,960
Cuba,Production,Processed Tea,2020,t,2
Cuba,Production,Processed Tea,2021,t,5
Cuba,Production,Processed Tea,2022,t,5
Cyprus,Production,Processed Tea,2020,t,78
Cyprus,Production,Processed Tea,2021,t,72
Cyprus,Production,Processed Tea,2022,t,110
Djibouti,Production,Processed Tea,2019,t,3
Dominica,Production,Processed Tea,2021,t,6
Dominica,Production,Processed Tea,2022,t,2
Dominican Republic,Production,Processed Tea,2020,t,53
Dominican Republic,Production,Processed Tea,2021,t,55
